account_type,institution,source_description,description,amount,transaction_type,matched_transaction_type_rule_id
credit_card,American Express,AMERICAN AIRLINES 45800-433-7300 TX,AMERICAN AIRLINES 45800-433-7300 TX,-460.99,purchase,PURCH_001
credit_card,American Express,AMERICAN AIRLINES 45800-433-7300 TX,AMERICAN AIRLINES 45800-433-7300 TX,-460.99,purchase,PURCH_001
credit_card,American Express,TRAVEL INSURANCE POLRICHMOND VA,TRAVEL INSURANCE POLRICHMOND VA,-62.36,purchase,PURCH_001
credit_card,American Express,AMERICAN AIRLINES 45800-433-7300 TX,AMERICAN AIRLINES 45800-433-7300 TX,-80,purchase,PURCH_001
credit_card,American Express,BURGER KING CHARLOTTE NC,BURGER KING CHARLOTTE NC,-5.17,purchase,PURCH_001
credit_card,American Express,CHARLOTTE 2078A CHARLOTTE NC,CHARLOTTE 2078A CHARLOTTE NC,-32.16,purchase,PURCH_001
credit_card,American Express,MAIN JERS MIKE SUB CCHARLOTTE NC,MAIN JERS MIKE SUB CCHARLOTTE NC,-22.18,purchase,PURCH_001
credit_card,American Express,FACEBK *ALZHEIMERSASDONATE.FB.COM CA,FACEBK *ALZHEIMERSASDONATE. FB. COM CA,-18,purchase,PURCH_001
credit_card,American Express,00486 - STANDARD PARAVOCA PA,00486 - STANDARD PARAVOCA PA,-53,purchase,PURCH_001
credit_card,American Express,AMERICAN AIRLINES 45DALLAS TX,AMERICAN AIRLINES 45DALLAS TX,-31.78,purchase,PURCH_001
credit_card,American Express,CLT 2094A CNBC EXPRECHARLOTTE NC,CLT 2094A CNBC EXPRECHARLOTTE NC,-8.56,purchase,PURCH_001
credit_card,American Express,NATIONAL CAR RENTAL DALLAS TX,NATIONAL CAR RENTAL DALLAS TX,-265.17,purchase,PURCH_001
credit_card,American Express,PZA E CLT CHARLOTTE NC,PZA E CLT CHARLOTTE NC,-42.72,purchase,PURCH_001
credit_card,American Express,QT BEDFORD TX,QT BEDFORD TX,-7.34,purchase,PURCH_001
credit_card,American Express,VIASAT IN-FLIGHT WI-CARLSBAD,VIASAT IN-FLIGHT WI-CARLSBAD,-12,purchase,PURCH_001
credit_card,American Express,MCDONALD'S <ID> 000WILLIAMSPORT PA,MCDONALD'S <ID> 000WILLIAMSPORT PA,-8.43,purchase,PURCH_001
credit_card,American Express,SUNOCO <ID> 08DANVILLE PA,SUNOCO <ID> 08DANVILLE PA,-14.05,purchase,PURCH_001
credit_card,American Express,LINKEDIN-455*8078494LNKD.IN/BILL CA,LINKEDIN-455*8078494LNKD. IN/BILL CA,-31.8,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,515.2,credit_card_payment,CCPAY_002
credit_card,American Express,SAMPAY SAMSUNGELECTRRIDGEFIELD PARK NJ,SAMPAY SAMSUNGELECTRRIDGEFIELD PARK NJ,-3.16,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-45.12,finance_charge,FINCHG_001
credit_card,American Express,RENEWAL MEMBERSHIP FEE,RENEWAL MEMBERSHIP FEE,-95,fee,FEE_001
credit_card,American Express,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,-49,purchase,PURCH_001
credit_card,American Express,NORTON RENEWAL <PHONE> CA,NORTON RENEWAL <PHONE> CA,116.59,unknown,UNK_001
credit_card,American Express,NORTON RENEWAL <PHONE> CA,NORTON RENEWAL <PHONE> CA,-116.59,purchase,PURCH_001
credit_card,American Express,NORTON RENEWAL <PHONE> CA,NORTON RENEWAL <PHONE> CA,-116.59,purchase,PURCH_001
credit_card,American Express,BT*C826GCRXVB *WORDSAN FRANCISCO CA,BT*C826GCRXVB *WORDSAN FRANCISCO CA,104.94,unknown,UNK_001
credit_card,American Express,BT*C826GCRXVB *WORDSAN FRANCISCO CA,BT*C826GCRXVB *WORDSAN FRANCISCO CA,-104.94,purchase,PURCH_001
credit_card,American Express,BT*C826GCRXVB *WORDSAN FRANCISCO CA,BT*C826GCRXVB *WORDSAN FRANCISCO CA,-104.94,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-43.99,purchase,PURCH_001
credit_card,American Express,MEM RWDS ANNUAL PROGRAM FEE,MEM RWDS ANNUAL PROGRAM FEE,-40,fee,FEE_001
credit_card,American Express,KINDLE UNLTD*MZ9TC57866-321-8851 WA,KINDLE UNLTD*MZ9TC57866-321-8851 WA,-10.59,purchase,PURCH_001
credit_card,American Express,AIRTABLE.COM/BILL SAN FRANCISCO CA,AIRTABLE. COM/BILL SAN FRANCISCO CA,-20,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,562.96,credit_card_payment,CCPAY_002
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-64.12,purchase,PURCH_001
credit_card,American Express,DANVILLE AREA COMMUNDANVILLE PA,DANVILLE AREA COMMUNDANVILLE PA,240,unknown,UNK_001
credit_card,American Express,DANVILLE AREA COMMUNDANVILLE PA,DANVILLE AREA COMMUNDANVILLE PA,-240,purchase,PURCH_001
credit_card,American Express,DANVILLE AREA COMMUNDANVILLE PA,DANVILLE AREA COMMUNDANVILLE PA,-240,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-49.15,finance_charge,FINCHG_001
credit_card,American Express,PRIME VIDEO*MN6IX6XV888-802-3080 WA,PRIME VIDEO*MN6IX6XV888-802-3080 WA,-3.17,purchase,PURCH_001
credit_card,American Express,AMAZON MUSIC*MN5DX8H888-802-3080 WA,AMAZON MUSIC*MN5DX8H888-802-3080 WA,-8.47,purchase,PURCH_001
credit_card,American Express,PRIME VIDEO*MN30M0B7888-802-3080 WA,PRIME VIDEO*MN30M0B7888-802-3080 WA,-10.59,purchase,PURCH_001
credit_card,American Express,FACEBK *PLANNEDPARENDONATE.FB.COM CA,FACEBK *PLANNEDPARENDONATE. FB. COM CA,-75,purchase,PURCH_001
credit_card,American Express,3-AVENUE C SECURE PATROY MI,3-AVENUE C SECURE PATROY MI,-3,purchase,PURCH_001
credit_card,American Express,CENT CONF AMER RABBI770-442-8633 GA,CENT CONF AMER RABBI770-442-8633 GA,-127.2,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,328.73,credit_card_payment,CCPAY_002
credit_card,American Express,STAPLES 00634 BLOOMSBURG PA,STAPLES 00634 BLOOMSBURG PA,-21.19,purchase,PURCH_001
credit_card,American Express,FACEBK *LUPUSFOUNDATDONATE.FB.COM CA,FACEBK *LUPUSFOUNDATDONATE. FB. COM CA,-20,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-52.53,finance_charge,FINCHG_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-3.17,purchase,PURCH_001
credit_card,American Express,MICROSOFT SERVICES BILL.MS.NET,MICROSOFT SERVICES BILL. MS. NET,-105.99,purchase,PURCH_001
credit_card,American Express,STEAMPOWERED.COM,STEAMPOWERED. COM,-20.11,purchase,PURCH_001
credit_card,American Express,STEAMPOWERED.COM,STEAMPOWERED. COM,-31.79,purchase,PURCH_001
credit_card,American Express,LUMOSITY.COM <PHONE> CA,LUMOSITY. COM <PHONE> CA,-63.55,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,377.65,credit_card_payment,CCPAY_002
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-56.76,finance_charge,FINCHG_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-21.19,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-30.15,purchase,PURCH_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-3.17,purchase,PURCH_001
credit_card,American Express,EWRLOTMP2/M2 0000 NEWARK NJ,EWRLOTMP2/M2 0000 NEWARK NJ,-12,purchase,PURCH_001
credit_card,American Express,FACEBK *TOWRITELOVEODONATE.FB.COM CA,FACEBK *TOWRITELOVEODONATE. FB. COM CA,-40,purchase,PURCH_001
credit_card,American Express,AMAZON SHOP WITH POINTS CREDIT,AMAZON SHOP WITH POINTS CREDIT,27.12,unknown,UNK_001
credit_card,American Express,AMAZON.COM SEATTLE WA,AMAZON. COM SEATTLE WA,-27.12,purchase,PURCH_001
credit_card,American Express,AMAZON.COM*MA3KG1EX2AMZN.COM/BILL WA,AMAZON. COM*MA3KG1EX2AMZN. COM/BILL WA,-25.63,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,310.52,credit_card_payment,CCPAY_002
credit_card,American Express,AIRTABLE.COM/BILL SAN FRANCISCO CA,AIRTABLE. COM/BILL SAN FRANCISCO CA,-99.38,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-55.42,finance_charge,FINCHG_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-3.17,purchase,PURCH_001
credit_card,American Express,IBOTTA PAY THE HOME DENVER CO,IBOTTA PAY THE HOME DENVER CO,-250,purchase,PURCH_001
credit_card,American Express,EDDIEBAUER.COM 9990 BELLEVUE WA,EDDIEBAUER. COM 9990 BELLEVUE WA,100,unknown,UNK_001
credit_card,American Express,EDDIEBAUER.COM 9990 BELLEVUE WA,EDDIEBAUER. COM 9990 BELLEVUE WA,-100,purchase,PURCH_001
credit_card,American Express,SAMSCLUB.COM#6279 62TEMPLE TX,SAMSCLUB. COM#6279 62TEMPLE TX,45,unknown,UNK_001
credit_card,American Express,SAMSCLUB.COM#6279 62TEMPLE TX,SAMSCLUB. COM#6279 62TEMPLE TX,-45,purchase,PURCH_001
credit_card,American Express,IBOTTA PAY THE HOME DENVER CO,IBOTTA PAY THE HOME DENVER CO,250,unknown,UNK_001
credit_card,American Express,SAMSCLUB.COM#6279 62TEMPLE TX,SAMSCLUB. COM#6279 62TEMPLE TX,45,unknown,UNK_001
credit_card,American Express,SAMSCLUB.COM#6279 62TEMPLE TX,SAMSCLUB. COM#6279 62TEMPLE TX,-45,purchase,PURCH_001
credit_card,American Express,TODOIST.COM PREMIUM PALO ALTO CA,TODOIST. COM PREMIUM PALO ALTO CA,-29,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,119.67,credit_card_payment,CCPAY_002
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-53.1,finance_charge,FINCHG_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-3.17,purchase,PURCH_001
credit_card,American Express,BT*49QKSA8UAH *WORDSAN FRANCISCO CA,BT*49QKSA8UAH *WORDSAN FRANCISCO CA,-25,purchase,PURCH_001
credit_card,American Express,MACYS CENTER CITY 0PHILADELPHIA PA,MACYS CENTER CITY 0PHILADELPHIA PA,-53.3,purchase,PURCH_001
credit_card,American Express,TRADESMANS 650000010PHILADELPHIA PA,TRADESMANS 650000010PHILADELPHIA PA,200,unknown,UNK_001
credit_card,American Express,TRADESMANS 650000010PHILADELPHIA PA,TRADESMANS 650000010PHILADELPHIA PA,-200,purchase,PURCH_001
credit_card,American Express,TRADESMANS 650000010PHILADELPHIA PA,TRADESMANS 650000010PHILADELPHIA PA,-200,purchase,PURCH_001
credit_card,American Express,UNCCH GIFTS CHAPEL HILL NC,UNCCH GIFTS CHAPEL HILL NC,100,unknown,UNK_001
credit_card,American Express,UNCCH GIFTS CHAPEL HILL NC,UNCCH GIFTS CHAPEL HILL NC,-100,purchase,PURCH_001
credit_card,American Express,UNCCH GIFTS CHAPEL HILL NC,UNCCH GIFTS CHAPEL HILL NC,-100,purchase,PURCH_001
credit_card,American Express,WILD FOR SALMON - STBLOOMSBURG PA,WILD FOR SALMON - STBLOOMSBURG PA,-30,purchase,PURCH_001
credit_card,American Express,WINE AND SPIRITS 190BLOOMSBURG PA,WINE AND SPIRITS 190BLOOMSBURG PA,-31.78,purchase,PURCH_001
credit_card,American Express,WISH.COM SAN FRANCISCO CA,WISH. COM SAN FRANCISCO CA,-29.9,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,201.2,credit_card_payment,CCPAY_002
credit_card,American Express,GOOGLE*PANDORA GOOGL G.CO HELPPAY#,GOOGLE*PANDORA GOOGL G. CO HELPPAY#,-5.29,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,GRAMMARLY.COM (888)3SAN FRANCISCO CA,GRAMMARLY. COM (888)3SAN FRANCISCO CA,-139.95,purchase,PURCH_001
credit_card,American Express,GRAMMARLY.COM (888)3SAN FRANCISCO CA,GRAMMARLY. COM (888)3SAN FRANCISCO CA,-139.95,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-53.47,finance_charge,FINCHG_001
credit_card,American Express,GRAMMARLY.COM (888)3SAN FRANCISCO CA,GRAMMARLY. COM (888)3SAN FRANCISCO CA,139.95,unknown,UNK_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-3.17,purchase,PURCH_001
credit_card,American Express,VCN*NY CITY VITAL RENEW YORK NY,VCN*NY CITY VITAL RENEW YORK NY,-40.3,purchase,PURCH_001
credit_card,American Express,LOSE IT! BOSTON MA,LOSE IT! BOSTON MA,-39.99,purchase,PURCH_001
credit_card,American Express,GOOGLE*PANDORA GOOGL G.CO HELPPAY#,GOOGLE*PANDORA GOOGL G. CO HELPPAY#,-5.29,purchase,PURCH_001
credit_card,American Express,LINDA WEST CELLOS GOSANTA BARBARA CA,LINDA WEST CELLOS GOSANTA BARBARA CA,642,unknown,UNK_001
credit_card,American Express,LINDA WEST CELLOS GOSANTA BARBARA CA,LINDA WEST CELLOS GOSANTA BARBARA CA,-642,purchase,PURCH_001
credit_card,American Express,LINDA WEST CELLOS GOSANTA BARBARA CA,LINDA WEST CELLOS GOSANTA BARBARA CA,-642,purchase,PURCH_001
credit_card,American Express,LATE FEE,LATE FEE,-28,fee,FEE_001
credit_card,American Express,ONLINE PAYMENT - THANK YOU,- THANK YOU,250,credit_card_payment,CCPAY_002
credit_card,American Express,OLGAREDKIN* OLGAREDKPITTSBURGH PA,OLGAREDKIN* OLGAREDKPITTSBURGH PA,-129,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-52.01,finance_charge,FINCHG_001
credit_card,American Express,ONLINE PAYMENT - THANK YOU,- THANK YOU,227.47,credit_card_payment,CCPAY_002
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-2.99,purchase,PURCH_001
credit_card,American Express,PA DRIVER & VEHICLE HARRISBURG PA,PA DRIVER & VEHICLE HARRISBURG PA,-38,purchase,PURCH_001
credit_card,American Express,PA DRIVER & VEHICLE HARRISBURG PA,PA DRIVER & VEHICLE HARRISBURG PA,-30.5,purchase,PURCH_001
credit_card,American Express,KOHL'S SELINSGROVE PA,KOHL'S SELINSGROVE PA,-30.21,purchase,PURCH_001
credit_card,American Express,KOHL'S GREENVILLE NC,KOHL'S GREENVILLE NC,-117.22,purchase,PURCH_001
credit_card,American Express,PURPLE BLOSSOM YOGA GREENVILLE NC,PURPLE BLOSSOM YOGA GREENVILLE NC,-16,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,336.27,credit_card_payment,CCPAY_002
credit_card,American Express,PURPLE BLOSSOM YOGA GREENVILLE NC,PURPLE BLOSSOM YOGA GREENVILLE NC,-12,purchase,PURCH_001
credit_card,American Express,ENTERPRISE RENT-A-CABLOOMSBURG PA,ENTERPRISE RENT-A-CABLOOMSBURG PA,-451.38,purchase,PURCH_001
credit_card,American Express,WISH.COM SAN FRANCISCO CA,WISH. COM SAN FRANCISCO CA,-5.73,purchase,PURCH_001
credit_card,American Express,3-AVENUE C SECURE PATROY MI,3-AVENUE C SECURE PATROY MI,-4.48,purchase,PURCH_001
credit_card,American Express,GOOGLE *PANDORA <PHONE> CA,GOOGLE *PANDORA <PHONE> CA,-5.29,purchase,PURCH_001
credit_card,American Express,SUNOCO <ID> 08DANVILLE PA,SUNOCO <ID> 08DANVILLE PA,-11.11,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-64.82,finance_charge,FINCHG_001
credit_card,American Express,GIANT FOOD DANVILLE PA,GIANT FOOD DANVILLE PA,-39.13,purchase,PURCH_001
credit_card,American Express,PYSANKY BY MIA MIFFLINBURG PA,PYSANKY BY MIA MIFFLINBURG PA,-42.4,purchase,PURCH_001
credit_card,American Express,WISH.COM SAN FRANCISCO CA,WISH. COM SAN FRANCISCO CA,-41.99,purchase,PURCH_001
credit_card,American Express,TILE PREMIUM SAN MATEO CA,TILE PREMIUM SAN MATEO CA,-2.99,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-0.59,purchase,PURCH_001
credit_card,American Express,SUNOCO <ID> 08DANVILLE PA,SUNOCO <ID> 08DANVILLE PA,-8.43,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-12.71,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-14,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-15.89,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-23.32,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-39.74,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-39.74,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-39.74,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-42.25,purchase,PURCH_001
credit_card,American Express,BRIDGEWATER CHOCOLATBROOKFIELD CT,BRIDGEWATER CHOCOLATBROOKFIELD CT,-47.34,purchase,PURCH_001
credit_card,American Express,KFC <ID> 0000 BLOOMSBURG PA,KFC <ID> 0000 BLOOMSBURG PA,-11.74,purchase,PURCH_001
credit_card,American Express,RUYEE RESTAURANT DANVILLE PA,RUYEE RESTAURANT DANVILLE PA,-11.01,purchase,PURCH_001
credit_card,American Express,"USA*MINUTE KEY, INC.BOULDER PA","USA*MINUTE KEY, INC. BOULDER PA",-7.42,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,429.07,credit_card_payment,CCPAY_002
credit_card,American Express,3-AVENUE C SECURE PATROY MI,3-AVENUE C SECURE PATROY MI,-1.79,purchase,PURCH_001
